Feature,Rank_Chi2,Rank_mRMR,Rank_ReliefF,Rank_Tree,Rank_Mean,TreeImportance,ReliefFWeight
ProjV_peaks,1,8,2,1,3,0.026103857514248,0.105867370140595
PerimNorm,2,1,3,8,3.5,0,0.0842182735315459
GridOccGini_3x3,5,7,4,5,5.25,0.00349260247392675,0.080508166969147
HolesCount,8,9,11,2,7.5,0.0120372183448257,0.0414571060604205
SkelEndpoints,9,2,8,15,8.5,0,0.0619515350397626
GridOccDiagDiff_3x3,4,4,5,21,8.5,0,0.072235592751531
Extent,3,11,12,10,9,0,0.0413769795388116
AspectRatio,12,21,1,4,9.5,0.0051838380557511,0.113306159532976
GridOccFrac_3x3,6,10,6,20,10.5,0,0.0660577915376676
StudsCount,10,25,7,3,11.25,0.00902068857781308,0.063238272183378
EulerNumber,16,17,9,7,12.25,0.00195979881481874,0.0549122807017544
AreaNorm,14,15,16,6,12.75,0.00300751879699248,0.0289078147656915
ProjV_entropy,11,12,10,18,12.75,0,0.042293114260525
Eccentricity,15,14,15,12,14,0,0.0299263287850201
StudsCountNormArea,7,16,14,22,14.75,0,0.0353383458646617
ProjH_entropy,18,6,17,19,15,0,0.0243201754385965
Circularity,20,19,13,9,15.25,0,0.037975457236526
PieceIdx,13,5,19,25,15.5,0,0.00442527144988967
StudsMeanRadius,19,3,18,23,15.75,0,0.013502917717278
StudsRadiusStd,17,13,20,24,18.5,0,0.00432520454575592
Solidity,22,20,22,11,18.75,0,NaN
ProjH_peaks,21,18,21,17,19.25,0,0.00308771929824561
HolesAreaFrac,23,22,23,13,20.25,0,NaN
SkelLenNorm,24,23,24,14,21.25,0,NaN
SkelBranchpoints,25,24,25,16,22.5,0,NaN
