Feature,Rank_Chi2,Rank_mRMR,Rank_ReliefF,Rank_Tree,Rank_Mean,TreeImportance,ReliefFWeight
Extent,9,1,2,1,3.25,0.00975008767587897,0.240840040459198
Solidity,10,6,1,2,4.75,0.00669470327874204,0.251403982715178
V_mean,7,12,7,5,7.75,0.00149907181986443,0.123312410441408
Eccentricity,11,5,6,9,7.75,0.000249517867283946,0.130028442619986
SkelLenNorm,13,9,4,6,8,0.000959144868196409,0.217320406974747
Circularity,8,13,10,4,8.75,0.00195968456475571,0.107520256954705
H_mean_circ,1,11,13,11,9,6.92630697969726e-05,0.103521524538945
S_mean,6,8,14,10,9.5,0.000208338916294068,0.090390229184249
V_IQR,5,10,11,13,9.75,2.60022250475447e-06,0.107380142500816
S_median,3,19,15,3,10,0.0024279307114919,0.0844775182690227
FD5,15,15,5,7,10.5,0.000451038788621677,0.131321441022987
EulerNumber,12,14,3,18,11.75,0,0.228119882839824
H_var_circ,2,16,17,14,12.25,0,0.0798769060299337
S_IQR,4,18,12,15,12.25,0,0.106787509473146
FD4,17,2,8,23,12.5,0,0.122406252449784
AspectRatio,18,7,18,8,12.75,0.000326722074586223,0.0388589627612519
PieceIdx,16,17,9,12,13.5,5.46415388914048e-05,0.107904841531522
FD3,14,4,16,22,14,0,0.0844775182690227
FD2,19,3,19,21,15.5,0,0.0382654189637742
SkelEndpoints,20,21,21,19,20.25,0,0.0314352063375109
SkelBranchpoints,21,20,20,20,20.25,0,0.0340505775615835
V_median,22,22,22,16,20.5,0,NaN
Convexity,23,23,23,17,21.5,0,NaN
