EVALUACIÓN COMPLETA SOBRE F_test
================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 132] 09_000_10_001.jpg | REAL=09 | PRED=09 | OK
[   2/ 132] 09_045_40_003.jpg | REAL=09 | PRED=09 | OK
[   3/ 132] 06_000_10_005.jpg | REAL=06 | PRED=12 | FAIL
[   4/ 132] 09_045_40_002.jpg | REAL=09 | PRED=09 | OK
[   5/ 132] 03_270_10_002.jpg | REAL=03 | PRED=12 | FAIL
[   6/ 132] 12_000_10_001.jpg | REAL=12 | PRED=12 | OK
[   7/ 132] 12_135_10_001.jpg | REAL=12 | PRED=12 | OK
[   8/ 132] 09_135_70_001.jpg | REAL=09 | PRED=09 | OK
[   9/ 132] 06_225_10_003.jpg | REAL=06 | PRED=12 | FAIL
[  10/ 132] 03_045_70_003.jpg | REAL=03 | PRED=12 | FAIL
[  11/ 132] 12_090_10_005.jpg | REAL=12 | PRED=12 | OK
[  12/ 132] 06_135_70_001.jpg | REAL=06 | PRED=12 | FAIL
[  13/ 132] 12_135_70_001.jpg | REAL=12 | PRED=12 | OK
[  14/ 132] 06_225_70_003.jpg | REAL=06 | PRED=12 | FAIL
[  15/ 132] 06_000_40_004.jpg | REAL=06 | PRED=12 | FAIL
[  16/ 132] 06_045_70_001.jpg | REAL=06 | PRED=12 | FAIL
[  17/ 132] 06_045_10_005.jpg | REAL=06 | PRED=12 | FAIL
[  18/ 132] 06_135_90_004.jpg | REAL=06 | PRED=12 | FAIL
[  19/ 132] 12_045_70_004.jpg | REAL=12 | PRED=12 | OK
[  20/ 132] 09_315_10_003.jpg | REAL=09 | PRED=09 | OK
[  21/ 132] 06_180_40_003.jpg | REAL=06 | PRED=12 | FAIL
[  22/ 132] 03_180_70_001.jpg | REAL=03 | PRED=12 | FAIL
[  23/ 132] 09_135_90_005.jpg | REAL=09 | PRED=09 | OK
[  24/ 132] 06_135_40_002.jpg | REAL=06 | PRED=12 | FAIL
[  25/ 132] 09_135_10_004.jpg | REAL=09 | PRED=09 | OK
[  26/ 132] 06_225_10_001.jpg | REAL=06 | PRED=12 | FAIL
[  27/ 132] 06_090_10_005.jpg | REAL=06 | PRED=12 | FAIL
[  28/ 132] 06_045_90_005.jpg | REAL=06 | PRED=12 | FAIL
[  29/ 132] 09_270_10_001.jpg | REAL=09 | PRED=09 | OK
[  30/ 132] 03_000_90_002.jpg | REAL=03 | PRED=12 | FAIL
[  31/ 132] 09_270_90_002.jpg | REAL=09 | PRED=09 | OK
[  32/ 132] 09_270_70_002.jpg | REAL=09 | PRED=09 | OK
[  33/ 132] 09_090_40_003.jpg | REAL=09 | PRED=09 | OK
[  34/ 132] 12_180_40_004.jpg | REAL=12 | PRED=12 | OK
[  35/ 132] 09_270_10_003.jpg | REAL=09 | PRED=09 | OK
[  36/ 132] 09_135_90_004.jpg | REAL=09 | PRED=09 | OK
[  37/ 132] 03_000_40_002.jpg | REAL=03 | PRED=12 | FAIL
[  38/ 132] 09_135_90_002.jpg | REAL=09 | PRED=09 | OK
[  39/ 132] 03_270_10_003.jpg | REAL=03 | PRED=12 | FAIL
[  40/ 132] 09_045_90_001.jpg | REAL=09 | PRED=09 | OK
[  41/ 132] 06_000_70_004.jpg | REAL=06 | PRED=12 | FAIL
[  42/ 132] 12_090_70_006.jpg | REAL=12 | PRED=12 | OK
[  43/ 132] 09_000_40_002.jpg | REAL=09 | PRED=09 | OK
[  44/ 132] 12_225_40_005.jpg | REAL=12 | PRED=12 | OK
[  45/ 132] 12_225_70_002.jpg | REAL=12 | PRED=12 | OK
[  46/ 132] 12_315_70_004.jpg | REAL=12 | PRED=12 | OK
[  47/ 132] 12_270_40_005.jpg | REAL=12 | PRED=12 | OK
[  48/ 132] 09_225_10_001.jpg | REAL=09 | PRED=09 | OK
[  49/ 132] 03_225_10_004.jpg | REAL=03 | PRED=09 | FAIL
