EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/1923] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   2/1923] 01_000_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   3/1923] 01_000_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   4/1923] 01_000_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   5/1923] 01_000_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   6/1923] 01_000_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   7/1923] 01_000_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   8/1923] 01_000_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   9/1923] 01_000_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  10/1923] 01_000_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  11/1923] 01_000_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  12/1923] 01_000_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  13/1923] 01_000_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  14/1923] 01_000_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  15/1923] 01_000_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  16/1923] 01_000_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  17/1923] 01_000_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  18/1923] 01_000_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  19/1923] 01_000_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  20/1923] 01_000_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  21/1923] 01_045_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  22/1923] 01_045_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  23/1923] 01_045_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  24/1923] 01_045_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  25/1923] 01_045_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  26/1923] 01_045_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  27/1923] 01_045_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  28/1923] 01_045_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  29/1923] 01_045_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  30/1923] 01_045_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  31/1923] 01_045_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  32/1923] 01_045_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
