EVALUACIÓN COMPLETA SOBRE M_test
================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 535] 05_180_40_003.jpg | REAL=05 | PRED=05 | OK
[   2/ 535] 10_135_40_003.jpg | REAL=10 | PRED=10 | OK
[   3/ 535] 05_315_40_002.jpg | REAL=05 | PRED=05 | OK
[   4/ 535] 10_135_40_005.jpg | REAL=10 | PRED=10 | OK
[   5/ 535] 02_225_10_004.jpg | REAL=02 | PRED=02 | OK
[   6/ 535] 02_315_40_001.jpg | REAL=02 | PRED=02 | OK
[   7/ 535] 07_135_10_004.jpg | REAL=07 | PRED=07 | OK
[   8/ 535] 04_045_10_004.jpg | REAL=04 | PRED=04 | OK
[   9/ 535] 11_180_90_002.jpg | REAL=11 | PRED=11 | OK
[  10/ 535] 01_135_70_003.jpg | REAL=01 | PRED=01 | OK
[  11/ 535] 03_135_10_001.jpg | REAL=03 | PRED=03 | OK
[  12/ 535] 03_270_70_003.jpg | REAL=03 | PRED=03 | OK
[  13/ 535] 03_000_70_001.jpg | REAL=03 | PRED=03 | OK
[  14/ 535] 08_045_90_001.jpg | REAL=08 | PRED=08 | OK
[  15/ 535] 05_225_40_004.jpg | REAL=05 | PRED=05 | OK
[  16/ 535] 02_315_70_002.jpg | REAL=02 | PRED=02 | OK
[  17/ 535] 04_315_90_005.jpg | REAL=04 | PRED=04 | OK
[  18/ 535] 08_000_90_001.jpg | REAL=08 | PRED=08 | OK
[  19/ 535] 08_270_70_003.jpg | REAL=08 | PRED=08 | OK
[  20/ 535] 02_225_70_001.jpg | REAL=02 | PRED=02 | OK
[  21/ 535] 11_045_10_004.jpg | REAL=11 | PRED=11 | OK
[  22/ 535] 09_090_40_004.jpg | REAL=09 | PRED=09 | OK
[  23/ 535] 09_000_40_005.jpg | REAL=09 | PRED=09 | OK
[  24/ 535] 10_270_90_001.jpg | REAL=10 | PRED=10 | OK
[  25/ 535] 07_180_10_004.jpg | REAL=07 | PRED=07 | OK
[  26/ 535] 05_270_40_005.jpg | REAL=05 | PRED=05 | OK
[  27/ 535] 01_000_70_003.jpg | REAL=01 | PRED=01 | OK
[  28/ 535] 05_180_70_003.jpg | REAL=05 | PRED=05 | OK
[  29/ 535] 12_135_70_002.jpg | REAL=12 | PRED=12 | OK
[  30/ 535] 06_315_70_004.jpg | REAL=06 | PRED=06 | OK
[  31/ 535] 06_270_90_003.jpg | REAL=06 | PRED=06 | OK
[  32/ 535] 01_225_40_004.jpg | REAL=01 | PRED=01 | OK
[  33/ 535] 06_000_40_005.jpg | REAL=06 | PRED=06 | OK
[  34/ 535] 07_090_10_003.jpg | REAL=07 | PRED=07 | OK
[  35/ 535] 12_000_70_001.jpg | REAL=12 | PRED=12 | OK
[  36/ 535] 08_180_90_005.jpg | REAL=08 | PRED=08 | OK
[  37/ 535] 05_270_10_005.jpg | REAL=05 | PRED=05 | OK
[  38/ 535] 10_135_90_003.jpg | REAL=10 | PRED=10 | OK
[  39/ 535] 10_180_10_005.jpg | REAL=10 | PRED=10 | OK
[  40/ 535] 10_045_10_004.jpg | REAL=10 | PRED=10 | OK
[  41/ 535] 08_135_70_004.jpg | REAL=08 | PRED=08 | OK
[  42/ 535] 03_135_70_003.jpg | REAL=03 | PRED=03 | OK
[  43/ 535] 04_270_10_003.jpg | REAL=04 | PRED=04 | OK
[  44/ 535] 07_090_70_001.jpg | REAL=07 | PRED=07 | OK
[  45/ 535] 01_000_40_003.jpg | REAL=01 | PRED=01 | OK
[  46/ 535] 09_180_70_002.jpg | REAL=09 | PRED=09 | OK
[  47/ 535] 11_135_90_001.jpg | REAL=11 | PRED=11 | OK
[  48/ 535] 05_045_90_002.jpg | REAL=05 | PRED=05 | OK
[  49/ 535] 03_000_70_005.jpg | REAL=03 | PRED=03 | OK
[  50/ 535] 02_000_10_001.jpg | REAL=02 | PRED=02 | OK
[  51/ 535] 09_180_10_003.jpg | REAL=09 | PRED=09 | OK
[  52/ 535] 09_180_40_004.jpg | REAL=09 | PRED=09 | OK
[  53/ 535] 03_225_70_002.jpg | REAL=03 | PRED=03 | OK
[  54/ 535] 05_225_40_001.jpg | REAL=05 | PRED=05 | OK
[  55/ 535] 01_135_10_001.jpg | REAL=01 | PRED=01 | OK
[  56/ 535] 11_315_90_002.jpg | REAL=11 | PRED=11 | OK
[  57/ 535] 06_180_10_005.jpg | REAL=06 | PRED=06 | OK
[  58/ 535] 02_045_40_004.jpg | REAL=02 | PRED=02 | OK
[  59/ 535] 03_225_40_001.jpg | REAL=03 | PRED=03 | OK
[  60/ 535] 11_315_10_005.jpg | REAL=11 | PRED=11 | OK
[  61/ 535] 01_225_70_002.jpg | REAL=01 | PRED=01 | OK
[  62/ 535] 01_180_10_005.jpg | REAL=01 | PRED=01 | OK
[  63/ 535] 02_180_40_003.jpg | REAL=02 | PRED=07 | FAIL
