EVALUACIÓN COMPLETA SOBRE M_test
================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 423] 03_090_70_005.jpg | REAL=03 | PRED=03 | OK
[   2/ 423] 02_315_90_003.jpg | REAL=02 | PRED=02 | OK
[   3/ 423] 01_135_40_004.jpg | REAL=01 | PRED=01 | OK
[   4/ 423] 10_270_90_005.jpg | REAL=10 | PRED=10 | OK
[   5/ 423] 11_000_90_005.jpg | REAL=11 | PRED=11 | OK
[   6/ 423] 08_225_90_001.jpg | REAL=08 | PRED=08 | OK
[   7/ 423] 03_225_10_002.jpg | REAL=03 | PRED=03 | OK
[   8/ 423] 02_000_40_003.jpg | REAL=02 | PRED=02 | OK
[   9/ 423] 05_090_70_004.jpg | REAL=05 | PRED=05 | OK
[  10/ 423] 03_315_10_001.jpg | REAL=03 | PRED=03 | OK
[  11/ 423] 01_270_40_005.jpg | REAL=01 | PRED=01 | OK
[  12/ 423] 07_045_90_002.jpg | REAL=07 | PRED=07 | OK
[  13/ 423] 01_225_40_001.jpg | REAL=01 | PRED=01 | OK
[  14/ 423] 07_225_40_001.jpg | REAL=07 | PRED=07 | OK
[  15/ 423] 03_315_90_003.jpg | REAL=03 | PRED=03 | OK
[  16/ 423] 08_315_40_005.jpg | REAL=08 | PRED=08 | OK
[  17/ 423] 10_315_90_005.jpg | REAL=10 | PRED=10 | OK
[  18/ 423] 09_270_70_002.jpg | REAL=09 | PRED=09 | OK
[  19/ 423] 04_000_10_005.jpg | REAL=04 | PRED=04 | OK
[  20/ 423] 02_180_10_005.jpg | REAL=02 | PRED=02 | OK
[  21/ 423] 10_090_90_002.jpg | REAL=10 | PRED=10 | OK
[  22/ 423] 07_180_70_002.jpg | REAL=07 | PRED=07 | OK
[  23/ 423] 12_090_70_001.jpg | REAL=12 | PRED=12 | OK
[  24/ 423] 05_090_70_001.jpg | REAL=05 | PRED=05 | OK
[  25/ 423] 12_315_70_002.jpg | REAL=12 | PRED=12 | OK
[  26/ 423] 08_315_90_005.jpg | REAL=08 | PRED=08 | OK
[  27/ 423] 10_315_40_003.jpg | REAL=10 | PRED=10 | OK
[  28/ 423] 08_270_40_003.jpg | REAL=08 | PRED=08 | OK
[  29/ 423] 01_045_70_001.jpg | REAL=01 | PRED=01 | OK
[  30/ 423] 10_315_90_004.jpg | REAL=10 | PRED=10 | OK
[  31/ 423] 11_180_90_003.jpg | REAL=11 | PRED=11 | OK
[  32/ 423] 07_270_40_003.jpg | REAL=07 | PRED=07 | OK
[  33/ 423] 09_225_90_001.jpg | REAL=09 | PRED=09 | OK
[  34/ 423] 07_045_70_004.jpg | REAL=07 | PRED=07 | OK
[  35/ 423] 07_135_90_001.jpg | REAL=07 | PRED=07 | OK
[  36/ 423] 07_000_90_001.jpg | REAL=07 | PRED=07 | OK
[  37/ 423] 09_135_10_005.jpg | REAL=09 | PRED=09 | OK
[  38/ 423] 05_045_40_002.jpg | REAL=05 | PRED=05 | OK
[  39/ 423] 04_225_90_003.jpg | REAL=04 | PRED=04 | OK
[  40/ 423] 05_135_40_001.jpg | REAL=05 | PRED=05 | OK
[  41/ 423] 09_180_70_003.jpg | REAL=09 | PRED=09 | OK
[  42/ 423] 11_315_70_001.jpg | REAL=11 | PRED=11 | OK
[  43/ 423] 02_270_10_002.jpg | REAL=02 | PRED=02 | OK
[  44/ 423] 04_000_40_001.jpg | REAL=04 | PRED=04 | OK
[  45/ 423] 09_045_70_005.jpg | REAL=09 | PRED=09 | OK
[  46/ 423] 07_135_40_003.jpg | REAL=07 | PRED=07 | OK
[  47/ 423] 10_045_90_001.jpg | REAL=10 | PRED=10 | OK
[  48/ 423] 06_090_10_001.jpg | REAL=06 | PRED=06 | OK
[  49/ 423] 10_225_40_001.jpg | REAL=10 | PRED=10 | OK
[  50/ 423] 09_270_70_005.jpg | REAL=09 | PRED=09 | OK
[  51/ 423] 04_000_40_004.jpg | REAL=04 | PRED=04 | OK
[  52/ 423] 12_090_40_003.jpg | REAL=12 | PRED=12 | OK
[  53/ 423] 01_270_70_002.jpg | REAL=01 | PRED=01 | OK
[  54/ 423] 02_315_70_003.jpg | REAL=02 | PRED=02 | OK
[  55/ 423] 03_000_90_001.jpg | REAL=03 | PRED=03 | OK
[  56/ 423] 01_135_70_002.jpg | REAL=01 | PRED=01 | OK
[  57/ 423] 10_315_90_003.jpg | REAL=10 | PRED=10 | OK
[  58/ 423] 01_045_10_004.jpg | REAL=01 | PRED=01 | OK
[  59/ 423] 05_270_90_004.jpg | REAL=05 | PRED=05 | OK
[  60/ 423] 09_000_70_003.jpg | REAL=09 | PRED=09 | OK
[  61/ 423] 06_225_40_002.jpg | REAL=06 | PRED=06 | OK
[  62/ 423] 11_180_10_006.jpg | REAL=11 | PRED=11 | OK
[  63/ 423] 05_270_70_002.jpg | REAL=05 | PRED=05 | OK
[  64/ 423] 01_225_40_005.jpg | REAL=01 | PRED=01 | OK
[  65/ 423] 08_045_90_004.jpg | REAL=08 | PRED=08 | OK
[  66/ 423] 03_090_10_002.jpg | REAL=03 | PRED=03 | OK
[  67/ 423] 01_270_10_004.jpg | REAL=01 | PRED=01 | OK
[  68/ 423] 05_315_90_005.jpg | REAL=05 | PRED=05 | OK
[  69/ 423] 01_045_10_005.jpg | REAL=01 | PRED=01 | OK
[  70/ 423] 06_090_40_003.jpg | REAL=06 | PRED=06 | OK
[  71/ 423] 04_045_10_004.jpg | REAL=04 | PRED=04 | OK
[  72/ 423] 09_270_10_003.jpg | REAL=09 | PRED=09 | OK
[  73/ 423] 10_180_70_003.jpg | REAL=10 | PRED=10 | OK
[  74/ 423] 02_225_10_005.jpg | REAL=02 | PRED=02 | OK
[  75/ 423] 06_315_40_002.jpg | REAL=06 | PRED=06 | OK
[  76/ 423] 02_315_70_002.jpg | REAL=02 | PRED=02 | OK
[  77/ 423] 09_180_90_005.jpg | REAL=09 | PRED=09 | OK
[  78/ 423] 01_225_90_002.jpg | REAL=01 | PRED=01 | OK
[  79/ 423] 09_000_70_002.jpg | REAL=09 | PRED=09 | OK
[  80/ 423] 09_270_40_004.jpg | REAL=09 | PRED=09 | OK
[  81/ 423] 10_135_70_005.jpg | REAL=10 | PRED=10 | OK
[  82/ 423] 05_135_90_001.jpg | REAL=05 | PRED=05 | OK
[  83/ 423] 01_045_40_005.jpg | REAL=01 | PRED=01 | OK
[  84/ 423] 01_135_10_001.jpg | REAL=01 | PRED=01 | OK
[  85/ 423] 09_315_10_002.jpg | REAL=09 | PRED=09 | OK
[  86/ 423] 06_315_10_004.jpg | REAL=06 | PRED=06 | OK
[  87/ 423] 11_225_90_006.jpg | REAL=11 | PRED=11 | OK
[  88/ 423] 06_000_10_002.jpg | REAL=06 | PRED=06 | OK
[  89/ 423] 03_270_90_005.jpg | REAL=03 | PRED=03 | OK
[  90/ 423] 07_000_70_005.jpg | REAL=07 | PRED=07 | OK
[  91/ 423] 06_000_70_003.jpg | REAL=06 | PRED=06 | OK
[  92/ 423] 05_090_10_005.jpg | REAL=05 | PRED=05 | OK
[  93/ 423] 05_090_40_001.jpg | REAL=05 | PRED=05 | OK
[  94/ 423] 06_000_10_001.jpg | REAL=06 | PRED=06 | OK
[  95/ 423] 03_225_40_005.jpg | REAL=03 | PRED=03 | OK
[  96/ 423] 01_180_40_004.jpg | REAL=01 | PRED=01 | OK
[  97/ 423] 11_270_90_002.jpg | REAL=11 | PRED=11 | OK
[  98/ 423] 06_180_70_005.jpg | REAL=06 | PRED=06 | OK
[  99/ 423] 04_045_10_002.jpg | REAL=04 | PRED=04 | OK
[ 100/ 423] 01_270_70_003.jpg | REAL=01 | PRED=01 | OK
[ 101/ 423] 10_090_10_005.jpg | REAL=10 | PRED=10 | OK
[ 102/ 423] 12_090_10_004.jpg | REAL=12 | PRED=12 | OK
[ 103/ 423] 09_180_70_001.jpg | REAL=09 | PRED=09 | OK
[ 104/ 423] 04_225_70_005.jpg | REAL=04 | PRED=04 | OK
[ 105/ 423] 02_000_10_003.jpg | REAL=02 | PRED=02 | OK
[ 106/ 423] 08_180_10_005.jpg | REAL=08 | PRED=08 | OK
[ 107/ 423] 11_315_40_006.jpg | REAL=11 | PRED=11 | OK
[ 108/ 423] 11_315_70_002.jpg | REAL=11 | PRED=11 | OK
[ 109/ 423] 05_270_40_004.jpg | REAL=05 | PRED=05 | OK
[ 110/ 423] 03_090_10_004.jpg | REAL=03 | PRED=03 | OK
[ 111/ 423] 04_135_90_003.jpg | REAL=04 | PRED=04 | OK
[ 112/ 423] 10_315_10_003.jpg | REAL=10 | PRED=10 | OK
[ 113/ 423] 02_315_40_002.jpg | REAL=02 | PRED=02 | OK
[ 114/ 423] 02_135_40_002.jpg | REAL=02 | PRED=02 | OK
[ 115/ 423] 09_045_10_003.jpg | REAL=09 | PRED=09 | OK
[ 116/ 423] 07_045_40_002.jpg | REAL=07 | PRED=07 | OK
[ 117/ 423] 01_315_10_004.jpg | REAL=01 | PRED=01 | OK
[ 118/ 423] 08_315_40_001.jpg | REAL=08 | PRED=08 | OK
[ 119/ 423] 07_225_70_005.jpg | REAL=07 | PRED=07 | OK
[ 120/ 423] 04_090_70_005.jpg | REAL=04 | PRED=04 | OK
[ 121/ 423] 08_270_40_002.jpg | REAL=08 | PRED=08 | OK
[ 122/ 423] 01_000_10_001.jpg | REAL=01 | PRED=01 | OK
[ 123/ 423] 04_000_90_002.jpg | REAL=04 | PRED=04 | OK
[ 124/ 423] 04_225_40_002.jpg | REAL=04 | PRED=04 | OK
[ 125/ 423] 04_135_40_004.jpg | REAL=04 | PRED=04 | OK
