EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/1923] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.904 g=0.025) | OK
[   2/1923] 01_000_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.908 g=0.028) | OK
[   3/1923] 01_000_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.991 g=0.143) | OK
[   4/1923] 01_000_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.993 g=0.140) | OK
[   5/1923] 01_000_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.995 g=0.129) | OK
[   6/1923] 01_000_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.995 g=0.157) | OK
[   7/1923] 01_000_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.995 g=0.157) | OK
[   8/1923] 01_000_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.984 g=0.156) | OK
[   9/1923] 01_000_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.984 g=0.156) | OK
[  10/1923] 01_000_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.985 g=0.164) | OK
[  11/1923] 01_000_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.990 g=0.142) | OK
[  12/1923] 01_000_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.984 g=0.134) | OK
[  13/1923] 01_000_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.997 g=0.149) | OK
[  14/1923] 01_000_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.995 g=0.150) | OK
[  15/1923] 01_000_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.995 g=0.152) | OK
[  16/1923] 01_000_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/90 (s=0.952 g=0.114) | OK
[  17/1923] 01_000_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/90 (s=0.952 g=0.115) | OK
[  18/1923] 01_000_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/90 (s=0.988 g=0.137) | OK
[  19/1923] 01_000_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/90 (s=0.988 g=0.137) | OK
[  20/1923] 01_000_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/90 (s=0.988 g=0.137) | OK
[  21/1923] 01_045_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.807 g=0.182) | OK
[  22/1923] 01_045_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.531 g=0.004) | OK
[  23/1923] 01_045_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.935 g=0.217) | OK
[  24/1923] 01_045_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.942 g=0.248) | OK
[  25/1923] 01_045_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.935 g=0.230) | OK
[  26/1923] 01_045_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.986 g=0.263) | OK
[  27/1923] 01_045_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.991 g=0.267) | OK
[  28/1923] 01_045_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.997 g=0.265) | OK
[  29/1923] 01_045_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.996 g=0.264) | OK
[  30/1923] 01_045_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.996 g=0.264) | OK
[  31/1923] 01_045_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.990 g=0.182) | OK
[  32/1923] 01_045_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.992 g=0.179) | OK
[  33/1923] 01_045_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.969 g=0.155) | OK
[  34/1923] 01_045_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.968 g=0.157) | OK
[  35/1923] 01_045_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.967 g=0.157) | OK
[  36/1923] 01_045_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.999 g=0.174) | OK
[  37/1923] 01_045_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.999 g=0.172) | OK
[  38/1923] 01_045_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.956 g=0.141) | OK
[  39/1923] 01_045_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.997 g=0.163) | OK
[  40/1923] 01_045_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.997 g=0.171) | OK
[  41/1923] 01_090_10_001.jpg | REAL=01 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | ORI=090/10 (s=0.625 g=0.031) | FAIL
