EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED

[   1/1923] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.904 g=0.025) | OK
[   2/1923] 01_000_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.908 g=0.028) | OK
[   3/1923] 01_000_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.991 g=0.143) | OK
[   4/1923] 01_000_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.993 g=0.140) | OK
[   5/1923] 01_000_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.995 g=0.129) | OK
[   6/1923] 01_000_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.995 g=0.157) | OK
[   7/1923] 01_000_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.995 g=0.157) | OK
[   8/1923] 01_000_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.984 g=0.156) | OK
[   9/1923] 01_000_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.984 g=0.156) | OK
[  10/1923] 01_000_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.985 g=0.164) | OK
[  11/1923] 01_000_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.990 g=0.142) | OK
[  12/1923] 01_000_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/70 (s=0.984 g=0.134) | OK
