EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED

[   1/ 294] 09_000_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.990 g=0.230) | OK
[   2/ 294] 09_000_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.991 g=0.230) | OK
[   3/ 294] 09_000_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.996 g=0.243) | OK
[   4/ 294] 09_000_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.997 g=0.243) | OK
[   5/ 294] 09_000_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.996 g=0.242) | OK
[   6/ 294] 09_000_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/40 (s=0.991 g=0.343) | OK
[   7/ 294] 09_000_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/40 (s=0.990 g=0.343) | OK
[   8/ 294] 09_000_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/40 (s=1.000 g=0.340) | OK
[   9/ 294] 09_000_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/40 (s=0.999 g=0.338) | OK
[  10/ 294] 09_000_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/40 (s=1.000 g=0.340) | OK
[  11/ 294] 09_000_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=0.937 g=0.010) | OK
