EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED

[   1/ 294] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.904 g=0.025) | OK
[   2/ 294] 01_000_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/40 (s=0.995 g=0.157) | OK
[   3/ 294] 01_045_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.935 g=0.217) | OK
[   4/ 294] 01_045_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/10 (s=0.935 g=0.230) | OK
[   5/ 294] 01_045_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.986 g=0.263) | OK
[   6/ 294] 01_045_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.991 g=0.267) | OK
[   7/ 294] 01_045_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/40 (s=0.996 g=0.264) | OK
[   8/ 294] 01_045_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.969 g=0.155) | OK
[   9/ 294] 01_045_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.968 g=0.157) | OK
[  10/ 294] 01_045_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/70 (s=0.967 g=0.157) | OK
[  11/ 294] 01_045_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.999 g=0.174) | OK
[  12/ 294] 01_045_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=045/90 (s=0.999 g=0.172) | OK
[  13/ 294] 01_090_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.998 g=0.147) | OK
[  14/ 294] 01_090_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.972 g=0.159) | OK
[  15/ 294] 01_090_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.993 g=0.131) | OK
[  16/ 294] 01_135_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.994 g=0.140) | OK
[  17/ 294] 01_135_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.990 g=0.153) | OK
[  18/ 294] 01_180_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.968 g=0.104) | OK
[  19/ 294] 01_180_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.992 g=0.144) | OK
[  20/ 294] 01_180_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.980 g=0.128) | OK
[  21/ 294] 01_225_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.996 g=0.219) | OK
[  22/ 294] 01_225_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.970 g=0.129) | OK
[  23/ 294] 01_225_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.965 g=0.146) | OK
[  24/ 294] 01_225_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.991 g=0.141) | OK
[  25/ 294] 01_270_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.984 g=0.091) | OK
[  26/ 294] 01_270_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.987 g=0.135) | OK
[  27/ 294] 02_000_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=1.000 g=0.225) | OK
[  28/ 294] 02_000_90_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/90 (s=0.998 g=0.238) | OK
[  29/ 294] 02_045_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=045/40 (s=0.971 g=0.267) | OK
[  30/ 294] 02_045_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=045/70 (s=0.985 g=0.247) | OK
[  31/ 294] 02_045_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=045/70 (s=0.945 g=0.123) | OK
[  32/ 294] 02_045_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=045/90 (s=0.968 g=0.173) | OK
[  33/ 294] 02_090_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=090/70 (s=0.983 g=0.128) | OK
[  34/ 294] 02_090_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=090/90 (s=0.990 g=0.101) | OK
