EVALUACIÓN COMPLETA SOBRE M_test
================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 535] 11_270_40_001.jpg | REAL=11 | PRED=11 | OK
[   2/ 535] 11_135_90_002.jpg | REAL=11 | PRED=11 | OK
[   3/ 535] 05_180_70_003.jpg | REAL=05 | PRED=05 | OK
[   4/ 535] 09_180_40_005.jpg | REAL=09 | PRED=09 | OK
[   5/ 535] 12_135_10_002.jpg | REAL=12 | PRED=12 | OK
[   6/ 535] 08_180_40_001.jpg | REAL=08 | PRED=08 | OK
[   7/ 535] 01_180_90_003.jpg | REAL=01 | PRED=01 | OK
[   8/ 535] 08_315_40_001.jpg | REAL=08 | PRED=08 | OK
[   9/ 535] 12_045_40_006.jpg | REAL=12 | PRED=12 | OK
[  10/ 535] 01_045_70_001.jpg | REAL=01 | PRED=01 | OK
[  11/ 535] 03_135_10_003.jpg | REAL=03 | PRED=03 | OK
[  12/ 535] 02_180_40_002.jpg | REAL=02 | PRED=02 | OK
[  13/ 535] 01_135_10_002.jpg | REAL=01 | PRED=01 | OK
[  14/ 535] 06_135_70_003.jpg | REAL=06 | PRED=06 | OK
[  15/ 535] 08_135_90_001.jpg | REAL=08 | PRED=08 | OK
[  16/ 535] 03_225_70_003.jpg | REAL=03 | PRED=03 | OK
[  17/ 535] 04_315_70_003.jpg | REAL=04 | PRED=04 | OK
[  18/ 535] 08_135_90_005.jpg | REAL=08 | PRED=08 | OK
[  19/ 535] 09_090_70_003.jpg | REAL=09 | PRED=09 | OK
[  20/ 535] 05_000_90_005.jpg | REAL=05 | PRED=05 | OK
[  21/ 535] 12_090_70_003.jpg | REAL=12 | PRED=12 | OK
[  22/ 535] 05_180_40_005.jpg | REAL=05 | PRED=05 | OK
[  23/ 535] 11_180_70_005.jpg | REAL=11 | PRED=11 | OK
[  24/ 535] 04_135_90_003.jpg | REAL=04 | PRED=04 | OK
[  25/ 535] 04_090_70_004.jpg | REAL=04 | PRED=04 | OK
[  26/ 535] 06_180_70_003.jpg | REAL=06 | PRED=06 | OK
[  27/ 535] 07_180_10_004.jpg | REAL=07 | PRED=07 | OK
[  28/ 535] 10_000_90_001.jpg | REAL=10 | PRED=10 | OK
[  29/ 535] 03_090_90_005.jpg | REAL=03 | PRED=03 | OK
[  30/ 535] 05_315_90_004.jpg | REAL=05 | PRED=05 | OK
[  31/ 535] 05_225_10_003.jpg | REAL=05 | PRED=05 | OK
[  32/ 535] 11_180_40_004.jpg | REAL=11 | PRED=11 | OK
[  33/ 535] 04_225_10_003.jpg | REAL=04 | PRED=04 | OK
[  34/ 535] 03_045_40_003.jpg | REAL=03 | PRED=03 | OK
[  35/ 535] 08_270_40_001.jpg | REAL=08 | PRED=08 | OK
[  36/ 535] 09_315_10_005.jpg | REAL=09 | PRED=09 | OK
[  37/ 535] 02_270_10_001.jpg | REAL=02 | PRED=02 | OK
[  38/ 535] 04_090_40_005.jpg | REAL=04 | PRED=04 | OK
[  39/ 535] 11_135_90_003.jpg | REAL=11 | PRED=11 | OK
[  40/ 535] 07_135_10_001.jpg | REAL=07 | PRED=07 | OK
[  41/ 535] 02_135_90_002.jpg | REAL=02 | PRED=02 | OK
[  42/ 535] 06_045_90_001.jpg | REAL=06 | PRED=06 | OK
[  43/ 535] 10_135_40_001.jpg | REAL=10 | PRED=10 | OK
[  44/ 535] 06_270_70_003.jpg | REAL=06 | PRED=06 | OK
[  45/ 535] 09_045_10_001.jpg | REAL=09 | PRED=09 | OK
[  46/ 535] 09_180_40_004.jpg | REAL=09 | PRED=09 | OK
[  47/ 535] 06_315_90_005.jpg | REAL=06 | PRED=06 | OK
[  48/ 535] 02_270_70_005.jpg | REAL=02 | PRED=02 | OK
[  49/ 535] 03_135_70_003.jpg | REAL=03 | PRED=03 | OK
[  50/ 535] 04_000_90_004.jpg | REAL=04 | PRED=04 | OK
[  51/ 535] 11_090_90_002.jpg | REAL=11 | PRED=11 | OK
[  52/ 535] 05_315_10_004.jpg | REAL=05 | PRED=05 | OK
[  53/ 535] 07_000_10_005.jpg | REAL=07 | PRED=07 | OK
[  54/ 535] 11_180_40_005.jpg | REAL=11 | PRED=11 | OK
[  55/ 535] 12_000_70_001.jpg | REAL=12 | PRED=12 | OK
[  56/ 535] 01_225_70_004.jpg | REAL=01 | PRED=01 | OK
[  57/ 535] 09_045_40_002.jpg | REAL=09 | PRED=09 | OK
[  58/ 535] 01_180_10_001.jpg | REAL=01 | PRED=01 | OK
[  59/ 535] 09_000_90_002.jpg | REAL=09 | PRED=09 | OK
[  60/ 535] 11_315_70_001.jpg | REAL=11 | PRED=11 | OK
[  61/ 535] 08_090_70_001.jpg | REAL=08 | PRED=08 | OK
[  62/ 535] 06_090_90_001.jpg | REAL=06 | PRED=06 | OK
[  63/ 535] 03_315_10_001.jpg | REAL=03 | PRED=03 | OK
[  64/ 535] 02_180_90_003.jpg | REAL=02 | PRED=02 | OK
[  65/ 535] 02_270_70_002.jpg | REAL=02 | PRED=02 | OK
[  66/ 535] 08_135_40_004.jpg | REAL=08 | PRED=08 | OK
[  67/ 535] 01_270_40_001.jpg | REAL=01 | PRED=01 | OK
[  68/ 535] 05_225_40_004.jpg | REAL=05 | PRED=05 | OK
[  69/ 535] 03_090_10_001.jpg | REAL=03 | PRED=03 | OK
[  70/ 535] 01_045_10_002.jpg | REAL=01 | PRED=01 | OK
[  71/ 535] 06_270_40_005.jpg | REAL=06 | PRED=06 | OK
[  72/ 535] 08_180_90_001.jpg | REAL=08 | PRED=08 | OK
[  73/ 535] 10_315_10_001.jpg | REAL=10 | PRED=10 | OK
[  74/ 535] 09_180_40_002.jpg | REAL=09 | PRED=09 | OK
[  75/ 535] 08_225_40_004.jpg | REAL=08 | PRED=08 | OK
[  76/ 535] 07_090_10_005.jpg | REAL=07 | PRED=07 | OK
[  77/ 535] 08_270_10_001.jpg | REAL=08 | PRED=08 | OK
[  78/ 535] 08_315_70_004.jpg | REAL=08 | PRED=08 | OK
[  79/ 535] 01_270_70_004.jpg | REAL=01 | PRED=01 | OK
[  80/ 535] 08_045_70_002.jpg | REAL=08 | PRED=08 | OK
[  81/ 535] 03_000_90_004.jpg | REAL=03 | PRED=03 | OK
[  82/ 535] 03_000_90_005.jpg | REAL=03 | PRED=03 | OK
[  83/ 535] 02_045_10_003.jpg | REAL=02 | PRED=02 | OK
[  84/ 535] 12_225_40_005.jpg | REAL=12 | PRED=12 | OK
[  85/ 535] 09_180_70_002.jpg | REAL=09 | PRED=09 | OK
[  86/ 535] 04_045_70_002.jpg | REAL=04 | PRED=04 | OK
[  87/ 535] 01_090_40_002.jpg | REAL=01 | PRED=01 | OK
[  88/ 535] 06_135_70_005.jpg | REAL=06 | PRED=06 | OK
[  89/ 535] 03_225_40_003.jpg | REAL=03 | PRED=03 | OK
[  90/ 535] 04_270_10_002.jpg | REAL=04 | PRED=04 | OK
[  91/ 535] 11_315_10_004.jpg | REAL=11 | PRED=11 | OK
[  92/ 535] 05_135_40_002.jpg | REAL=05 | PRED=05 | OK
[  93/ 535] 02_090_90_005.jpg | REAL=02 | PRED=02 | OK
[  94/ 535] 09_180_90_005.jpg | REAL=09 | PRED=09 | OK
[  95/ 535] 06_270_90_001.jpg | REAL=06 | PRED=06 | OK
[  96/ 535] 08_270_70_004.jpg | REAL=08 | PRED=08 | OK
[  97/ 535] 08_225_90_001.jpg | REAL=08 | PRED=08 | OK
[  98/ 535] 09_135_40_004.jpg | REAL=09 | PRED=09 | OK
[  99/ 535] 01_315_90_003.jpg | REAL=01 | PRED=01 | OK
[ 100/ 535] 06_135_90_001.jpg | REAL=06 | PRED=06 | OK
