EVALUACIÓN COMPLETA SOBRE T_test (CASCADA: COLOR->FORMA)
=======================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 335] 10_135_70_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[   2/ 335] 11_225_70_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[   3/ 335] 01_135_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   4/ 335] 10_225_70_001.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[   5/ 335] 01_045_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[   6/ 335] 06_045_70_002.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[   7/ 335] 10_090_90_003.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[   8/ 335] 12_090_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[   9/ 335] 04_090_10_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  10/ 335] 02_270_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  11/ 335] 01_270_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  12/ 335] 04_270_10_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  13/ 335] 03_135_10_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[  14/ 335] 12_000_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[  15/ 335] 10_180_10_001.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  16/ 335] 01_090_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  17/ 335] 11_180_70_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  18/ 335] 10_045_40_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  19/ 335] 01_045_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  20/ 335] 09_180_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  21/ 335] 09_135_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  22/ 335] 09_045_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  23/ 335] 10_225_70_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  24/ 335] 07_135_40_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  25/ 335] 04_135_70_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  26/ 335] 08_090_70_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  27/ 335] 09_315_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  28/ 335] 11_315_40_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  29/ 335] 01_225_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  30/ 335] 02_135_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  31/ 335] 11_135_90_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  32/ 335] 04_225_40_003.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  33/ 335] 03_225_40_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[  34/ 335] 12_090_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[  35/ 335] 04_135_40_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  36/ 335] 10_315_90_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  37/ 335] 02_090_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  38/ 335] 11_135_90_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  39/ 335] 04_090_90_003.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
